xmin	xmax	ymin	ymax	clickSelects.variable	clickSelects.value	PANEL	group
0.411149435631183	0.543093073808142	-0.01317350371726	3.51717041398884	degrees01	3	1	1
0.536088172239483	0.668031810416442	-0.01317350371726	3.51717041398884	degrees01	4	1	1
0.63299818524754	0.764941823424498	-0.01317350371726	3.51717041398884	degrees01	5	1	1
0.779126220925778	0.911069859102736	-0.01317350371726	3.51717041398884	degrees01	7	1	1
0.934028180911521	1.06597181908848	-0.01317350371726	3.51717041398884	degrees01	10	1	1
1.08015621658976	1.21209985476672	-0.01317350371726	3.51717041398884	degrees01	14	1	1
1.21278178186435	1.34472542004131	-0.01317350371726	3.51717041398884	degrees01	19	1	1
1.34900152888234	1.4809451670593	-0.01317350371726	3.51717041398884	degrees01	26	1	1
1.4780962252618	1.61003986343876	-0.01317350371726	3.51717041398884	degrees01	35	1	1
1.61526941828711	1.74721305646407	-0.01317350371726	3.51717041398884	degrees01	48	1	1
1.74694153755438	1.87888517573133	-0.01317350371726	3.51717041398884	degrees01	65	1	1
1.87851085306169	2.01045449123865	-0.01317350371726	3.51717041398884	degrees01	88	1	1
2.00957514230405	2.14151878048101	-0.01317350371726	3.51717041398884	degrees01	119	1	1
2.14354319545415	2.27548683363111	-0.01317350371726	3.51717041398884	degrees01	162	1	1
2.27447229575164	2.4064159339286	-0.01317350371726	3.51717041398884	degrees01	219	1	1
2.40678463022873	2.53872826840569	-0.01317350371726	3.51717041398884	degrees01	297	1	1
2.53825423399599	2.67019787217295	-0.01317350371726	3.51717041398884	degrees01	402	1	1
2.67042468318816	2.80236832136512	-0.01317350371726	3.51717041398884	degrees01	545	1	1
2.80208454273456	2.93402818091152	-0.01317350371726	3.51717041398884	degrees01	738	1	1
2.93402818091152	3.06597181908848	-0.01317350371726	3.51717041398884	degrees01	1000	1	1
0.411149435631183	0.543093073808142	-1.02462717041914	21.6333663304577	sin_cos	3	2	2
0.536088172239483	0.668031810416442	-1.02462717041914	21.6333663304577	sin_cos	4	2	2
0.63299818524754	0.764941823424498	-1.02462717041914	21.6333663304577	sin_cos	5	2	2
0.779126220925778	0.911069859102736	-1.02462717041914	21.6333663304577	sin_cos	7	2	2
0.934028180911521	1.06597181908848	-1.02462717041914	21.6333663304577	sin_cos	10	2	2
1.08015621658976	1.21209985476672	-1.02462717041914	21.6333663304577	sin_cos	14	2	2
1.21278178186435	1.34472542004131	-1.02462717041914	21.6333663304577	sin_cos	19	2	2
1.34900152888234	1.4809451670593	-1.02462717041914	21.6333663304577	sin_cos	26	2	2
1.4780962252618	1.61003986343876	-1.02462717041914	21.6333663304577	sin_cos	35	2	2
1.61526941828711	1.74721305646407	-1.02462717041914	21.6333663304577	sin_cos	48	2	2
1.74694153755438	1.87888517573133	-1.02462717041914	21.6333663304577	sin_cos	65	2	2
1.87851085306169	2.01045449123865	-1.02462717041914	21.6333663304577	sin_cos	88	2	2
2.00957514230405	2.14151878048101	-1.02462717041914	21.6333663304577	sin_cos	119	2	2
2.14354319545415	2.27548683363111	-1.02462717041914	21.6333663304577	sin_cos	162	2	2
2.27447229575164	2.4064159339286	-1.02462717041914	21.6333663304577	sin_cos	219	2	2
2.40678463022873	2.53872826840569	-1.02462717041914	21.6333663304577	sin_cos	297	2	2
2.53825423399599	2.67019787217295	-1.02462717041914	21.6333663304577	sin_cos	402	2	2
2.67042468318816	2.80236832136512	-1.02462717041914	21.6333663304577	sin_cos	545	2	2
2.80208454273456	2.93402818091152	-1.02462717041914	21.6333663304577	sin_cos	738	2	2
2.93402818091152	3.06597181908848	-1.02462717041914	21.6333663304577	sin_cos	1000	2	2
